Total: 1592 | Train (vector store): 796 | Test: 796

============================================================
  Evaluating model: gemma3:12b
============================================================
  [368] True: real | Pred: real
  [914] True: real | Pred: real
  [616] True: fake | Pred: fake
  [1476] True: fake | Pred: real
  [909] True: real | Pred: real
  [16] True: real | Pred: real
  [693] True: fake | Pred: real
  [622] True: fake | Pred: real
  [542] True: fake | Pred: fake
  [1093] True: real | Pred: real
  [425] True: fake | Pred: real
  [1032] True: real | Pred: real
  [188] True: real | Pred: real
  [600] True: fake | Pred: fake
  [485] True: fake | Pred: fake
  [1570] True: fake | Pred: real
  [1000] True: real | Pred: real
  [1047] True: real | Pred: real
  [941] True: real | Pred: real
  [318] True: real | Pred: fake
  [1353] True: fake | Pred: real
  [126] True: real | Pred: real
  [1073] True: real | Pred: fake
  [506] True: fake | Pred: fake
  [569] True: fake | Pred: fake
  [222] True: real | Pred: real
  [1388] True: fake | Pred: fake
  [41] True: real | Pred: real
  [708] True: fake | Pred: fake
  [1223] True: fake | Pred: fake
  [1064] True: real | Pred: real
  [435] True: fake | Pred: real
  [191] True: real | Pred: real
  [378] True: real | Pred: real
  [1005] True: real | Pred: fake
  [1489] True: fake | Pred: fake
  [1560] True: fake | Pred: real
  [1062] True: real | Pred: real
  [293] True: real | Pred: fake
  [876] True: real | Pred: real
  [358] True: real | Pred: real
  [1159] True: real | Pred: fake
  [2] True: real | Pred: real
  [1425] True: fake | Pred: fake
  [661] True: fake | Pred: fake
  [117] True: real | Pred: real
  [1554] True: fake | Pred: real
  [1449] True: fake | Pred: fake
  [1360] True: fake | Pred: fake
  [1564] True: fake | Pred: real
  [1519] True: fake | Pred: real
  [24] True: real | Pred: real
  [447] True: fake | Pred: fake
  [667] True: fake | Pred: fake
  [1262] True: fake | Pred: real
  [1408] True: fake | Pred: fake
  [817] True: real | Pred: real
  [1086] True: real | Pred: fake
  [282] True: real | Pred: real
  [1471] True: fake | Pred: fake
  [992] True: real | Pred: real
  [1544] True: fake | Pred: real
  [390] True: real | Pred: real
  [164] True: real | Pred: real
  [566] True: fake | Pred: real
  [978] True: real | Pred: real
  [519] True: fake | Pred: fake
  [151] True: real | Pred: real
  [1204] True: fake | Pred: real
  [570] True: fake | Pred: fake
  [1311] True: fake | Pred: real
  [1351] True: fake | Pred: real
  [1254] True: fake | Pred: real
  [697] True: fake | Pred: real
  [1302] True: fake | Pred: real
  [319] True: real | Pred: fake
  [910] True: real | Pred: real
  [325] True: real | Pred: real
  [214] True: real | Pred: real
  [1446] True: fake | Pred: fake
  [986] True: real | Pred: real
  [365] True: real | Pred: real
  [1112] True: real | Pred: real
  [1431] True: fake | Pred: fake
  [946] True: real | Pred: real
  [401] True: fake | Pred: fake
  [269] True: real | Pred: real
  [1537] True: fake | Pred: fake
  [223] True: real | Pred: real
  [228] True: real | Pred: fake
  [868] True: real | Pred: real
  [1024] True: real | Pred: real
  [459] True: fake | Pred: fake
  [452] True: fake | Pred: fake
  [1197] True: fake | Pred: fake
  [1257] True: fake | Pred: fake
  [591] True: fake | Pred: fake
  [1212] True: fake | Pred: fake
  [883] True: real | Pred: real
  [905] True: real | Pred: real
  [1443] True: fake | Pred: fake
  [360] True: real | Pred: fake
  [1521] True: fake | Pred: fake
  [112] True: real | Pred: real
  [1187] True: real | Pred: real
  [106] True: real | Pred: real
  [605] True: fake | Pred: fake
  [614] True: fake | Pred: fake
  [1477] True: fake | Pred: real
  [1304] True: fake | Pred: fake
  [754] True: fake | Pred: fake
  [502] True: fake | Pred: fake
  [866] True: real | Pred: fake
  [705] True: fake | Pred: real
  [1124] True: real | Pred: real
  [143] True: real | Pred: real
  [672] True: fake | Pred: real
  [1464] True: fake | Pred: fake
  [1123] True: real | Pred: fake
  [791] True: fake | Pred: fake
  [823] True: real | Pred: real
  [1161] True: real | Pred: real
  [559] True: fake | Pred: fake
  [703] True: fake | Pred: fake
  [658] True: fake | Pred: real
  [156] True: real | Pred: fake
  [1504] True: fake | Pred: fake
  [1361] True: fake | Pred: fake
  [625] True: fake | Pred: fake
  [1096] True: real | Pred: real
  [1349] True: fake | Pred: real
  [513] True: fake | Pred: real
  [669] True: fake | Pred: real
  [1226] True: fake | Pred: real
  [238] True: real | Pred: real
  [1030] True: real | Pred: real
  [606] True: fake | Pred: real
  [956] True: real | Pred: real
  [662] True: fake | Pred: real
  [1214] True: fake | Pred: real
  [546] True: fake | Pred: real
  [557] True: fake | Pred: fake
  [527] True: fake | Pred: real
  [1285] True: fake | Pred: fake
  [498] True: fake | Pred: fake
  [737] True: fake | Pred: fake
  [127] True: real | Pred: real
  [999] True: real | Pred: real
  [125] True: real | Pred: real
  [1209] True: fake | Pred: fake
  [838] True: real | Pred: real
  [68] True: real | Pred: real
  [250] True: real | Pred: real
  [140] True: real | Pred: real
  [171] True: real | Pred: real
  [511] True: fake | Pred: fake
  [753] True: fake | Pred: fake
  [1288] True: fake | Pred: fake
  [818] True: real | Pred: real
  [1376] True: fake | Pred: real
  [870] True: real | Pred: fake
  [178] True: real | Pred: real
  [835] True: real | Pred: real
  [243] True: real | Pred: real
  [1031] True: real | Pred: real
  [590] True: fake | Pred: fake
  [523] True: fake | Pred: real
  [1217] True: fake | Pred: fake
  [512] True: fake | Pred: fake
  [462] True: fake | Pred: fake
  [1428] True: fake | Pred: real
  [448] True: fake | Pred: fake
  [210] True: real | Pred: fake
  [619] True: fake | Pred: fake
  [1277] True: fake | Pred: real
  [149] True: real | Pred: real
  [1498] True: fake | Pred: fake
  [136] True: real | Pred: fake
  [1367] True: fake | Pred: real
  [1427] True: fake | Pred: fake
  [825] True: real | Pred: real
  [930] True: real | Pred: real
  [1415] True: fake | Pred: real
  [712] True: fake | Pred: fake
  [1534] True: fake | Pred: real
  [903] True: real | Pred: real
  [5] True: real | Pred: real
  [528] True: fake | Pred: fake
  [834] True: real | Pred: real
  [695] True: fake | Pred: fake
  [877] True: real | Pred: real
  [771] True: fake | Pred: fake
  [526] True: fake | Pred: fake
  [597] True: fake | Pred: real
  [1482] True: fake | Pred: fake
  [587] True: fake | Pred: real
  [1246] True: fake | Pred: fake
  [209] True: real | Pred: real
  [48] True: real | Pred: real
  [1503] True: fake | Pred: fake
  [673] True: fake | Pred: fake
  [1022] True: real | Pred: real
  [1516] True: fake | Pred: fake
  [227] True: real | Pred: real
  [786] True: fake | Pred: fake
  [404] True: fake | Pred: real
  [1461] True: fake | Pred: fake
  [12] True: real | Pred: real
  [1131] True: real | Pred: real
  [503] True: fake | Pred: fake
  [1158] True: real | Pred: fake
  [809] True: real | Pred: real
  [663] True: fake | Pred: fake
  [721] True: fake | Pred: fake
  [1383] True: fake | Pred: real
  [153] True: real | Pred: fake
  [110] True: real | Pred: real
  [1056] True: real | Pred: real
  [1084] True: real | Pred: real
  [1199] True: fake | Pred: real
  [420] True: fake | Pred: real
  [630] True: fake | Pred: fake
  [53] True: real | Pred: real
  [556] True: fake | Pred: fake
  [1155] True: real | Pred: real
  [1453] True: fake | Pred: fake
  [142] True: real | Pred: real
  [920] True: real | Pred: real
  [362] True: real | Pred: real
  [594] True: fake | Pred: fake
  [1586] True: fake | Pred: real
  [543] True: fake | Pred: fake
  [829] True: real | Pred: real
  [1387] True: fake | Pred: fake
  [521] True: fake | Pred: fake
  [994] True: real | Pred: real
  [17] True: real | Pred: fake
  [936] True: real | Pred: real
  [524] True: fake | Pred: fake
  [85] True: real | Pred: fake
  [320] True: real | Pred: fake
  [1352] True: fake | Pred: fake
  [1177] True: real | Pred: real
  [1148] True: real | Pred: real
  [1558] True: fake | Pred: fake
  [1003] True: real | Pred: fake
  [975] True: real | Pred: real
  [1472] True: fake | Pred: real
  [607] True: fake | Pred: real
  [326] True: real | Pred: real
  [211] True: real | Pred: real
  [1343] True: fake | Pred: fake
  [434] True: fake | Pred: fake
  [1510] True: fake | Pred: fake
  [860] True: real | Pred: real
  [1061] True: real | Pred: real
  [355] True: real | Pred: real
  [132] True: real | Pred: real
  [1342] True: fake | Pred: fake
  [1484] True: fake | Pred: real
  [1001] True: real | Pred: real
  [480] True: fake | Pred: fake
  [1077] True: real | Pred: real
  [1346] True: fake | Pred: real
  [22] True: real | Pred: fake
  [948] True: real | Pred: real
  [276] True: real | Pred: real
  [1007] True: real | Pred: real
  [1195] True: fake | Pred: real
  [1307] True: fake | Pred: real
  [808] True: real | Pred: fake
  [495] True: fake | Pred: fake
  [1053] True: real | Pred: real
  [1256] True: fake | Pred: fake
  [1362] True: fake | Pred: real
  [1251] True: fake | Pred: fake
  [1356] True: fake | Pred: fake
  [1524] True: fake | Pred: real
  [333] True: real | Pred: real
  [74] True: real | Pred: fake
  [1021] True: real | Pred: fake
  [1088] True: real | Pred: real
  [687] True: fake | Pred: fake
  [655] True: fake | Pred: fake
  [1248] True: fake | Pred: real
  [1267] True: fake | Pred: real
  [25] True: real | Pred: real
  [805] True: real | Pred: real
  [797] True: fake | Pred: fake
  [792] True: fake | Pred: fake
  [779] True: fake | Pred: fake
  [602] True: fake | Pred: fake
  [273] True: real | Pred: fake
  [1264] True: fake | Pred: fake
  [1298] True: fake | Pred: fake
  [33] True: real | Pred: fake
  [1370] True: fake | Pred: real
  [294] True: real | Pred: real
  [720] True: fake | Pred: fake
  [345] True: real | Pred: real
  [346] True: real | Pred: fake
  [1190] True: real | Pred: fake
  [369] True: real | Pred: real
  [1010] True: real | Pred: real
  [713] True: fake | Pred: fake
  [1429] True: fake | Pred: real
  [1128] True: real | Pred: real
  [575] True: fake | Pred: real
  [1374] True: fake | Pred: real
  [62] True: real | Pred: real
  [515] True: fake | Pred: real
  [1566] True: fake | Pred: fake
  [1090] True: real | Pred: real
  [213] True: real | Pred: real
  [299] True: real | Pred: real
  [215] True: real | Pred: real
  [961] True: real | Pred: real
  [1173] True: real | Pred: real
  [1305] True: fake | Pred: real
  [676] True: fake | Pred: fake
  [385] True: real | Pred: real
  [1245] True: fake | Pred: real
  [1099] True: real | Pred: real
  [10] True: real | Pred: fake
  [898] True: real | Pred: real
  [1174] True: real | Pred: real
  [116] True: real | Pred: fake
  [1581] True: fake | Pred: real
  [296] True: real | Pred: real
  [915] True: real | Pred: real
  [1514] True: fake | Pred: real
  [4] True: real | Pred: real
  [1411] True: fake | Pred: fake
  [105] True: real | Pred: fake
  [645] True: fake | Pred: fake
  [1294] True: fake | Pred: fake
  [715] True: fake | Pred: fake
  [232] True: real | Pred: real
  [55] True: real | Pred: real
  [1401] True: fake | Pred: real
  [764] True: fake | Pred: fake
  [46] True: real | Pred: real
  [1440] True: fake | Pred: fake
  [1025] True: real | Pred: real
  [161] True: real | Pred: real
  [970] True: real | Pred: fake
  [846] True: real | Pred: real
  [348] True: real | Pred: real
  [1553] True: fake | Pred: real
  [446] True: fake | Pred: fake
  [1318] True: fake | Pred: fake
  [157] True: real | Pred: real
  [1357] True: fake | Pred: real
  [1406] True: fake | Pred: fake
  [263] True: real | Pred: real
  [976] True: real | Pred: real
  [701] True: fake | Pred: real
  [924] True: real | Pred: real
  [1284] True: fake | Pred: fake
  [88] True: real | Pred: real
  [130] True: real | Pred: real
  [66] True: real | Pred: real
  [252] True: real | Pred: real
  [585] True: fake | Pred: fake
  [643] True: fake | Pred: fake
  [113] True: real | Pred: real
  [1460] True: fake | Pred: real
  [1215] True: fake | Pred: real
  [680] True: fake | Pred: fake
  [688] True: fake | Pred: real
  [1333] True: fake | Pred: fake
  [789] True: fake | Pred: fake
  [499] True: fake | Pred: real
  [179] True: real | Pred: real
  [1036] True: real | Pred: real
  [1117] True: real | Pred: real
  [1082] True: real | Pred: real
  [932] True: real | Pred: real
  [827] True: real | Pred: real
  [670] True: fake | Pred: real
  [341] True: real | Pred: real
  [745] True: fake | Pred: fake
  [391] True: real | Pred: real
  [560] True: fake | Pred: real
  [1171] True: real | Pred: real
  [440] True: fake | Pred: fake
  [1094] True: real | Pred: real
  [1292] True: fake | Pred: real
  [248] True: real | Pred: real
  [1563] True: fake | Pred: fake
  [1366] True: fake | Pred: fake
  [417] True: fake | Pred: fake
  [853] True: real | Pred: real
  [1162] True: real | Pred: real
  [653] True: fake | Pred: fake
  [1065] True: real | Pred: fake
  [1368] True: fake | Pred: fake
  [772] True: fake | Pred: fake
  [1287] True: fake | Pred: fake
  [1125] True: real | Pred: real
  [28] True: real | Pred: real
  [1063] True: real | Pred: real
  [646] True: fake | Pred: fake
  [1170] True: real | Pred: fake
  [552] True: fake | Pred: fake
  [27] True: real | Pred: real
  [288] True: real | Pred: real
  [1373] True: fake | Pred: fake
  [952] True: real | Pred: real
  [833] True: real | Pred: real
  [217] True: real | Pred: real
  [437] True: fake | Pred: real
  [242] True: real | Pred: fake
  [595] True: fake | Pred: fake
  [155] True: real | Pred: real
  [86] True: real | Pred: real
  [547] True: fake | Pred: real
  [583] True: fake | Pred: fake
  [60] True: real | Pred: fake
  [18] True: real | Pred: real
  [458] True: fake | Pred: fake
  [642] True: fake | Pred: fake
  [491] True: fake | Pred: fake
  [722] True: fake | Pred: real
  [1577] True: fake | Pred: fake
  [1259] True: fake | Pred: fake
  [364] True: real | Pred: real
  [1316] True: fake | Pred: fake
  [144] True: real | Pred: fake
  [3] True: real | Pred: fake
  [1141] True: real | Pred: real
  [1418] True: fake | Pred: real
  [1179] True: real | Pred: real
  [405] True: fake | Pred: fake
  [284] True: real | Pred: real
  [370] True: real | Pred: real
  [1160] True: real | Pred: real
  [1043] True: real | Pred: real
  [471] True: fake | Pred: fake
  [1002] True: real | Pred: real
  [617] True: fake | Pred: fake
  [312] True: real | Pred: real
  [856] True: real | Pred: real
  [436] True: fake | Pred: fake
  [6] True: real | Pred: real
  [230] True: real | Pred: real
  [641] True: fake | Pred: fake
  [980] True: real | Pred: real
  [1037] True: real | Pred: real
  [1051] True: real | Pred: real
  [1270] True: fake | Pred: real
  [1538] True: fake | Pred: fake
  [1497] True: fake | Pred: real
  [538] True: fake | Pred: fake
  [172] True: real | Pred: fake
  [1358] True: fake | Pred: fake
  [801] True: real | Pred: real
  [1487] True: fake | Pred: fake
  [412] True: fake | Pred: fake
  [1585] True: fake | Pred: real
  [295] True: real | Pred: real
  [811] True: real | Pred: real
  [1336] True: fake | Pred: fake
  [1203] True: fake | Pred: fake
  [1147] True: real | Pred: real
  [96] True: real | Pred: fake
  [7] True: real | Pred: real
  [1126] True: real | Pred: real
  [1299] True: fake | Pred: fake
  [573] True: fake | Pred: real
  [1060] True: real | Pred: real
  [457] True: fake | Pred: real
  [1097] True: real | Pred: real
  [790] True: fake | Pred: real
  [1359] True: fake | Pred: real
  [1234] True: fake | Pred: fake
  [1009] True: real | Pred: real
  [408] True: fake | Pred: fake
  [1276] True: fake | Pred: real
  [414] True: fake | Pred: real
  [908] True: real | Pred: real
  [967] True: real | Pred: fake
  [1407] True: fake | Pred: real
  [160] True: real | Pred: real
  [129] True: real | Pred: real
  [1165] True: real | Pred: real
  [993] True: real | Pred: real
  [14] True: real | Pred: fake
  [221] True: real | Pred: real
  [258] True: real | Pred: real
  [1523] True: fake | Pred: real
  [1146] True: real | Pred: real
  [301] True: real | Pred: real
  [759] True: fake | Pred: fake
  [1517] True: fake | Pred: fake
  [254] True: real | Pred: real
  [820] True: real | Pred: real
  [601] True: fake | Pred: real
  [698] True: fake | Pred: fake
  [349] True: real | Pred: real
  [1469] True: fake | Pred: real
  [1444] True: fake | Pred: real
  [1085] True: real | Pred: real
  [290] True: real | Pred: real
  [1392] True: fake | Pred: fake
  [1250] True: fake | Pred: fake
  [317] True: real | Pred: real
  [995] True: real | Pred: real
  [1490] True: fake | Pred: fake
  [308] True: real | Pred: fake
  [145] True: real | Pred: real
  [841] True: real | Pred: real
  [1049] True: real | Pred: real
  [438] True: fake | Pred: real
  [1475] True: fake | Pred: real
  [770] True: fake | Pred: fake
  [529] True: fake | Pred: fake
  [1181] True: real | Pred: real
  [83] True: real | Pred: fake
  [453] True: fake | Pred: fake
  [1206] True: fake | Pred: fake
  [858] True: real | Pred: real
  [1013] True: real | Pred: real
  [973] True: real | Pred: real
  [530] True: fake | Pred: fake
  [1474] True: fake | Pred: fake
  [336] True: real | Pred: fake
  [311] True: real | Pred: real
  [741] True: fake | Pred: fake
  [103] True: real | Pred: real
  [704] True: fake | Pred: fake
  [743] True: fake | Pred: fake
  [1140] True: real | Pred: real
  [379] True: real | Pred: real
  [500] True: fake | Pred: fake
  [1404] True: fake | Pred: real
  [1394] True: fake | Pred: fake
  [195] True: real | Pred: real
  [651] True: fake | Pred: real
  [131] True: real | Pred: real
  [784] True: fake | Pred: fake
  [1044] True: real | Pred: real
  [981] True: real | Pred: fake
  [1080] True: real | Pred: real
  [1391] True: fake | Pred: real
  [571] True: fake | Pred: real
  [554] True: fake | Pred: fake
  [1423] True: fake | Pred: real
  [321] True: real | Pred: real
  [327] True: real | Pred: real
  [45] True: real | Pred: real
  [867] True: real | Pred: real
  [906] True: real | Pred: real
  [633] True: fake | Pred: fake
  [1166] True: real | Pred: real
  [1500] True: fake | Pred: fake
  [47] True: real | Pred: real
  [138] True: real | Pred: real
  [904] True: real | Pred: real
  [803] True: real | Pred: real
  [977] True: real | Pred: fake
  [586] True: fake | Pred: fake
  [1306] True: fake | Pred: fake
  [1485] True: fake | Pred: real
  [1400] True: fake | Pred: real
  [758] True: fake | Pred: fake
  [1561] True: fake | Pred: real
  [432] True: fake | Pred: fake
  [652] True: fake | Pred: fake
  [445] True: fake | Pred: fake
  [450] True: fake | Pred: fake
  [982] True: real | Pred: real
  [1562] True: fake | Pred: real
  [579] True: fake | Pred: fake
  [328] True: real | Pred: real
  [1017] True: real | Pred: real
  [1300] True: fake | Pred: fake
  [265] True: real | Pred: fake
  [1202] True: fake | Pred: fake
  [359] True: real | Pred: real
  [572] True: fake | Pred: fake
  [1393] True: fake | Pred: fake
  [322] True: real | Pred: fake
  [1180] True: real | Pred: fake
  [1188] True: real | Pred: real
  [158] True: real | Pred: real
  [534] True: fake | Pred: real
  [1149] True: real | Pred: real
  [923] True: real | Pred: real
  [1567] True: fake | Pred: fake
  [1135] True: real | Pred: fake
  [147] True: real | Pred: real
  [1157] True: real | Pred: real
  [1396] True: fake | Pred: fake
  [624] True: fake | Pred: fake
  [839] True: real | Pred: real
  [800] True: real | Pred: real
  [1479] True: fake | Pred: fake
  [1198] True: fake | Pred: fake
  [1551] True: fake | Pred: real
  [972] True: real | Pred: real
  [957] True: real | Pred: real
  [1268] True: fake | Pred: real
  [935] True: real | Pred: fake
  [464] True: fake | Pred: real
  [260] True: real | Pred: real
  [193] True: real | Pred: real
  [50] True: real | Pred: real
  [1108] True: real | Pred: real
  [377] True: real | Pred: real
  [776] True: fake | Pred: fake
  [816] True: real | Pred: fake
  [541] True: fake | Pred: real
  [1098] True: real | Pred: real
  [1403] True: fake | Pred: real
  [991] True: real | Pred: real
  [426] True: fake | Pred: fake
  [416] True: fake | Pred: fake
  [302] True: real | Pred: fake
  [916] True: real | Pred: real
  [1210] True: fake | Pred: fake
  [177] True: real | Pred: real
  [94] True: real | Pred: real
  [1233] True: fake | Pred: fake
  [1136] True: real | Pred: real
  [1004] True: real | Pred: real
  [748] True: fake | Pred: fake
  [1167] True: real | Pred: real
  [1508] True: fake | Pred: fake
  [1075] True: real | Pred: fake
  [1182] True: real | Pred: real
  [717] True: fake | Pred: fake
  [1011] True: real | Pred: real
  [778] True: fake | Pred: fake
  [1280] True: fake | Pred: real
  [1413] True: fake | Pred: real
  [376] True: real | Pred: fake
  [785] True: fake | Pred: fake
  [918] True: real | Pred: real
  [1142] True: real | Pred: real
  [39] True: real | Pred: fake
  [1549] True: fake | Pred: real
  [1255] True: fake | Pred: fake
  [1555] True: fake | Pred: fake
  [683] True: fake | Pred: fake
  [1565] True: fake | Pred: real
  [1237] True: fake | Pred: real
  [1382] True: fake | Pred: fake
  [945] True: real | Pred: fake
  [1118] True: real | Pred: real
  [1459] True: fake | Pred: fake
  [1107] True: real | Pred: real
  [974] True: real | Pred: real
  [1539] True: fake | Pred: fake
  [1271] True: fake | Pred: fake
  [139] True: real | Pred: real
  [773] True: fake | Pred: fake
  [766] True: fake | Pred: fake
  [632] True: fake | Pred: fake
  [421] True: fake | Pred: fake
  [235] True: real | Pred: fake
  [291] True: real | Pred: real
  [1571] True: fake | Pred: fake
  [561] True: fake | Pred: fake
  [181] True: real | Pred: real
  [1574] True: fake | Pred: fake
  [1442] True: fake | Pred: fake
  [640] True: fake | Pred: fake
  [822] True: real | Pred: real
  [363] True: real | Pred: real
  [1050] True: real | Pred: real
  [395] True: real | Pred: real
  [1119] True: real | Pred: real
  [1410] True: fake | Pred: fake
  [1412] True: fake | Pred: fake
  [927] True: real | Pred: fake
  [174] True: real | Pred: real
  [224] True: real | Pred: real
  [1509] True: fake | Pred: real
  [1543] True: fake | Pred: real
  [77] True: real | Pred: real
  [1369] True: fake | Pred: real
  [626] True: fake | Pred: real
  [89] True: real | Pred: fake
  [864] True: real | Pred: real
  [902] True: real | Pred: real
  [983] True: real | Pred: real
  [246] True: real | Pred: real
  [1059] True: real | Pred: real
  [375] True: real | Pred: real
  [487] True: fake | Pred: fake
  [419] True: fake | Pred: fake
  [971] True: real | Pred: real
  [1115] True: real | Pred: real
  [120] True: real | Pred: real
  [1591] True: fake | Pred: fake
  [1385] True: fake | Pred: fake
  [1266] True: fake | Pred: real
  [31] True: real | Pred: real
  [907] True: real | Pred: fake
  [1100] True: real | Pred: real
  [878] True: real | Pred: real
  [550] True: fake | Pred: real
  [1347] True: fake | Pred: real
  [1211] True: fake | Pred: fake
  [272] True: real | Pred: real
  [1023] True: real | Pred: real
  [393] True: real | Pred: fake
  [427] True: fake | Pred: real
  [682] True: fake | Pred: fake
  [1532] True: fake | Pred: fake
  [507] True: fake | Pred: fake
  [580] True: fake | Pred: fake
  [1447] True: fake | Pred: fake
  [1145] True: real | Pred: real
  [1027] True: real | Pred: real
  [1265] True: fake | Pred: fake
  [774] True: fake | Pred: fake
  [54] True: real | Pred: real
  [1496] True: fake | Pred: fake
  [1331] True: fake | Pred: fake
  [1378] True: fake | Pred: fake
  [679] True: fake | Pred: real
  [1337] True: fake | Pred: fake
  [979] True: real | Pred: fake
  [1231] True: fake | Pred: fake
  [1070] True: real | Pred: real
  [1224] True: fake | Pred: fake
  [323] True: real | Pred: real
  [287] True: real | Pred: real

  Model         : gemma3:12b
  Accuracy      : 0.7399
  F1 (fake)     : 0.7168
  UNKNOWN preds : 0
  Confusion Matrix (rows=true, cols=pred) [fake | real]:
  [[262 136]
 [ 71 327]]

  Classification Report:
              precision    recall  f1-score   support

        fake       0.79      0.66      0.72       398
        real       0.71      0.82      0.76       398

    accuracy                           0.74       796
   macro avg       0.75      0.74      0.74       796
weighted avg       0.75      0.74      0.74       796

